"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.name","Answer.comment","Answer.userchoice","Approve","Reject"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","3GS6S824SUITS3BOAC8ILU6ONY8WNQ","A10BXXF2ELJDSF","Submitted","Mon Aug 01 22:31:17 PDT 2022","Mon Aug 01 22:42:43 PDT 2022","Thu Aug 04 22:42:43 PDT 2022","","","","686","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","2"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","304SM51WA7PYKD5INHT8XA390W1BS4","A1338G6KF4JUFI","Submitted","Mon Aug 01 22:41:22 PDT 2022","Mon Aug 01 22:46:51 PDT 2022","Thu Aug 04 22:46:51 PDT 2022","","","","329","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","2"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","33LK57MYLXQU2B8YTV9BJSACRZOSZS","A13QL2GWRLY4MI","Submitted","Mon Aug 01 22:49:48 PDT 2022","Mon Aug 01 23:02:55 PDT 2022","Thu Aug 04 23:02:55 PDT 2022","","","","787","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","NONE","4"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","3HWRJOOET9NWRGH2X8VYYI9U3TCSEJ","A167PXYXP6YMYE","Submitted","Mon Aug 01 22:33:43 PDT 2022","Mon Aug 01 22:38:16 PDT 2022","Thu Aug 04 22:38:16 PDT 2022","","","","273","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","3"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","36AHBNMV1VXOVWFB0JC3AMFAK26DYO","A16SVEN0QTVP9L","Submitted","Mon Aug 01 22:27:06 PDT 2022","Mon Aug 01 23:03:34 PDT 2022","Thu Aug 04 23:03:34 PDT 2022","","","","2188","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","3"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","3WQ3B2KGEC1YQT6OAYEO19G0AWP1BB","A172BOCIRENV6H","Submitted","Mon Aug 01 22:45:47 PDT 2022","Mon Aug 01 23:06:10 PDT 2022","Thu Aug 04 23:06:10 PDT 2022","","","","1223","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","NONE","4"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","3N2BF7Y2VUF5DVVZ3C7I7C713KQMHL","A17NIWF2L4YP1U","Submitted","Mon Aug 01 22:53:37 PDT 2022","Mon Aug 01 22:54:51 PDT 2022","Thu Aug 04 22:54:51 PDT 2022","","","","74","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","3"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","31Q0U3WYDT0BOH3YXH28W7U4R6U71R","A17R7WX5B0CKK6","Submitted","Mon Aug 01 22:27:57 PDT 2022","Mon Aug 01 22:40:42 PDT 2022","Thu Aug 04 22:40:42 PDT 2022","","","","765","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","4"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","3ZR9AIQJUFUEY50XZ001FQRKVCZ04Y","A18G0RZXZVB64K","Submitted","Mon Aug 01 22:29:32 PDT 2022","Mon Aug 01 23:21:06 PDT 2022","Thu Aug 04 23:21:06 PDT 2022","","","","3094","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","3"
"3QXFBUZ40N173N7426BKO2G5MZZUGS","376D5N1TGW9M0NI8W3L5I3R4U4YXSF","Compare and Choose","Chose the preferred group","image, comparison","$0.01","Mon Aug 01 22:26:06 PDT 2022","200","BatchId:4793844;OriginalHitTemplateId:928390922;","3600","259200","Mon Aug 08 22:26:06 PDT 2022","","","3XC1O3LBOW7BCM493UNSLIV0E9WTL1","A197WTK2NW3UGS","Submitted","Mon Aug 01 23:01:51 PDT 2022","Mon Aug 01 23:14:59 PDT 2022","Thu Aug 04 23:14:59 PDT 2022","","","","788","0% (0/0)","0% (0/0)","0% (0/0)","combo_01_2","{}","2"
